Nome Escola,Dependência,Código INEP,Localização,Internet,Matrículas,Energia Adequada,Conexão adequada,Classificação da cobertura,Situação,Prestadora PBLE (Programa de Conectividade nas Escolas),Tecnologia PBLE,Vel. (mbps),Fonte de Monitoramento,Nível de conexão,Latitude,Longitude
E M E F PROF RAIMUNDA DA COSTA MORAES - PROF RAMITA,Municipal,15173720,Urbana,Sim,1066,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.5204222,-48.7002
CRECHE MUNICIPAL MARIA JANEIDE LIMA RODRIGUES - TIA JANEIDE,Municipal,15173747,Urbana,Não,182,Sim,Não,1. Acesso adequado - fibra,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.5134366,-48.71378
CRECHE MUNICIPAL HOZANA TRINDADE FURTADO - TIO HOZANA,Municipal,15174379,Urbana,Sim,146,Sim,Sim,4. Acesso inadequado - localização imprecisa,Velocidade adequada,-,-,95.02,VEL_MAX_6M,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.6033983,-48.735336
CRECHE MUNICIPAL MARIA ROSALINA MARTINS DA CUNHA - TIA ROSALINA,Municipal,15174387,Urbana,Não,337,Sim,Não,4. Acesso inadequado - localização imprecisa,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.53444,-48.67982
CRECHE MUNICIPAL PROFª CARLOTA MACHADO DA CONCEICAO - TIA CARLOTA,Municipal,15174395,Urbana,Sim,222,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,250.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5027598,-48.697594
E M E F MANOEL DE OLIVEIRA CARDOSO,Municipal,15176550,Rural,Não,337,Sim,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.5876429,-48.595703
CRECHE MUNICIPAL PROFESSORA CARIDADE RIBEIRO DA SILVA - TIA CARIDADE,Municipal,15179265,Urbana,Não,316,Sim,Não,1. Acesso adequado - fibra,Sem informação de internet,-,-,0.0,-,Alguma internet para uso de gestores,-1.51466,-48.61864
ESCOLA TECNOLOGICA PROF MARIA SIQUEIRA DOS SANTOS DIAS,Estadual,15179524,Urbana,Sim,799,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,-,-,0.0,-,Alguma internet e algum wifi para uso de gestores e professores,-1.5284290,-48.6174560
E M E F ZITA CONTENTE MAGNO CUNHA,Municipal,15515753,Urbana,Sim,447,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,OI,ADSL,300.0,PDDE_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.5195669,-48.67226
E M E I GOTINHA DE LUZ,Municipal,15515788,Urbana,Sim,409,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.532256,-48.68879
E M E I F JUPARIQUARA,Municipal,15535240,Rural,Não,9,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3912413,-48.596283
E M E F PROF FRANCISCO CONCEICAO DO NASCIMENTO,Municipal,15555623,Urbana,Sim,330,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,OI,ADSL,315.74,VEL_MAX_6M,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.5685766,-48.758053
E M E I F NOSSA SENHORA DE FATIMA,Municipal,15555682,Urbana,Sim,548,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,-,-,200.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5266145,-48.68252
E M E F PREF LAURIVAL CAMPOS CUNHA,Municipal,15576337,Rural,Sim,534,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,SATÉLITE,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.475327,-48.644047
COLEGIO ESTADUAL PALMIRA GABRIEL,Estadual,15576370,Urbana,Sim,755,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,14172_CONECT_VELOCIDADE,Alguma internet para uso de gestores,-1.5128787,-48.621273
E M E F JOSE HUMBERTO SOUZA DO NASCIMENTO,Municipal,15577457,Urbana,Sim,1698,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,300.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5173862,-48.68763
E M E I CAFEZAL,Municipal,15578429,Rural,Sim,102,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,100.36,VEL_MAX_6M,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.4988204,-48.593487
E M E I F NOVA VIDA,Municipal,15578437,Rural,Sim,18,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,400.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.5392883,-48.65425
E M E F VER MARCOS MARTINS MAGNO,Municipal,15583945,Urbana,Sim,1129,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,300.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5448435,-48.677812
EEEF MARIA AMELIA DA SILVA COSTA,Estadual,15035743,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.5770542,-48.6091039
EEEIF NOSSA SENHORA DE NAZARE,Estadual,15035751,Urbana,-,-,-,Não,-,-,-,-,-,-,-,-1.5091795,-48.6174083
E M E I F SAO LUIZ,Municipal,15036499,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.51891,-48.617
E M E I F SANTA CECILIA,Municipal,15036820,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.5304,-48.5132
E M E I F LIMEIRA,Municipal,15143112,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.64583,-48.6375
EEEF SANTA HELENA,Estadual,15159515,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.5036,-48.6253
ANEXO RURAL ACY DE JESUS BARROS PEREIRA,Estadual,15178579,Rural,-,-,-,Não,-,-,-,-,-,-,-,-1.4939,-48.5471
