Nome Escola,Dependência,Código INEP,Localização,Internet,Matrículas,Energia Adequada,Conexão adequada,Classificação da cobertura,Situação,Prestadora PBLE (Programa de Conectividade nas Escolas),Tecnologia PBLE,Vel. (mbps),Fonte de Monitoramento,Nível de conexão,Latitude,Longitude
E M E I F EDUARDO FRANCISCO AMBE,Municipal,15036243,Rural,Sim,17,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.3866886,-48.64534
E M E I F FURO CONCEICAO,Municipal,15036251,Rural,Não,11,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3636782,-48.54877
E M E I F ILHA MUCURA,Municipal,15036278,Rural,Não,22,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3898689,-48.573917
E M E I F JANDIAQUARA,Municipal,15036286,Rural,Não,11,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3415276,-48.597916
E M E I F JOAO PANTOJA DE CASTRO,Municipal,15036294,Rural,Não,15,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4477232,-48.66558
E M E I F MARILDA NUNES,Municipal,15036308,Rural,Sim,91,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,CLARO,SATÉLITE,20.0,GESAC_VEL,Alguma internet para uso de gestores,-1.4568352,-48.622387
E M E I F NAIR DIAS SERRAO,Municipal,15036316,Rural,Sim,31,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,CLARO,Rede Celular,0.53,VEL_MAX_6M,Alguma internet e algum wifi para uso de gestores e professores,-1.5317599,-48.66694
E M E F NORONHA DE BARROS,Municipal,15036324,Urbana,Sim,1269,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5176508,-48.720703
E M E F MARIA ROSANGELA CARVALHO DA CONCEICAO,Municipal,15036340,Urbana,Sim,409,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,100.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5153598,-48.62531
E M E I F JOAQUIM ALVES DA COSTA,Municipal,15036367,Rural,Sim,15,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.5236872,-48.58313
E M E I F SACAIA,Municipal,15036375,Rural,Sim,16,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,-,-,0.0,-,Alguma internet para uso de gestores,-1.507111,-48.56867
E M E F SAO FRANCISCO XAVIER,Municipal,15036391,Urbana,Sim,769,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,424.95,VEL_MAX_6M,Alguma internet e algum wifi para uso de gestores e professores,-1.5211935,-48.65171
E M E F PREF WANDICK GUTIERREZ,Municipal,15036430,Urbana,Sim,729,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,-,-,0.0,-,Alguma internet e algum wifi para uso de gestores e professores,-1.5687068,-48.764214
E M E I F LANDY,Municipal,15036464,Rural,Não,24,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4063565,-48.57752
E M E I F FURO DAS LARANJEIRAS,Municipal,15036472,Rural,Não,21,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.502462,-48.53129
E M E I F PROF ADELIA DO SOCORRO PANTOJA DA CONCEICAO,Municipal,15036480,Rural,Sim,76,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5973703,-48.546738
E M E I F SAO MARCOS,Municipal,15036502,Rural,Não,52,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3666908,-48.588158
E M E I F AICARAU,Municipal,15036529,Rural,Não,19,Sim,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.5475415,-48.568817
E M E I F BOM JARDIM,Municipal,15036553,Rural,Sim,21,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,SATÉLITE,0.0,0,Alguma internet para uso de gestores,-1.6482757,-48.449036
E M E I F BOM JESUS,Municipal,15036561,Rural,Não,25,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4962718,-48.56031
E M E I F ANTONIO CLARINDO MAGNO JUNIOR,Municipal,15036570,Rural,Sim,259,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,400.0,PDDE_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.642755,-48.702717
E M E F CONEGO FRANCISCO DA SILVA CRAVO,Municipal,15036588,Urbana,Sim,941,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,300.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5199417,-48.67157
E M E I F DOM PEDRO I,Municipal,15036596,Rural,Sim,156,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,-,-,400.0,EACE_CONECT_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.6734585,-48.497334
E M E F ARAPARI,Municipal,15036600,Rural,Sim,580,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,CLARO,SATÉLITE,0.0,0,Alguma internet e algum wifi para uso de gestores e professores,-1.560791,-48.50616
E M E F MARIA CECILIA VASCONCELOS RIBEIRO,Municipal,15036626,Urbana,Sim,1308,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,400.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5086296,-48.62063
E M E F CARLOS DE JESUS MARTINS,Municipal,15036650,Rural,Não,37,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4079125,-48.598007
E M E F JARBAS PASSARINHO,Municipal,15036669,Urbana,Sim,393,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,100.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5118546,-48.62081
E M E I F JOSE PINHEIRO RODRIGUES,Municipal,15036677,Rural,Sim,40,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,100.0,PDDE_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.6086572,-48.627247
E M E I F MANOEL NASCIMENTO DO AMARAL,Municipal,15036685,Rural,Sim,24,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.5803653,-48.52523
E M E I F MONTANHA,Municipal,15036693,Rural,Sim,67,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet e algum wifi para uso de gestores e professores,-1.5794797,-48.763336
E M E I F MONTE SANTO,Municipal,15036707,Rural,Sim,15,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.6169577,-48.59406
E M E I F NOSSA SENHORA DO LIVRAMENTO,Municipal,15036715,Rural,Sim,14,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,-,-,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.6278985,-48.72862
E M E I F NOSSA SENHORA DA CONCEICAO,Municipal,15036723,Rural,Não,30,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4676195,-48.57062
E M E I F NOSSA SENHORA DA PIEDADE,Municipal,15036731,Rural,Sim,101,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,0.0,0,Alguma internet e algum wifi para uso de gestores e professores,-1.6304969,-48.488136
